,1991-2005_hotdays,1991-2005_colddays,2006-2020_hotdays,2006-2020_colddays,1991-2000_hotdays,1991-2000_colddays,2001-2010_hotdays,2001-2010_colddays,2011-2020_hotdays,2011-2020_colddays
8325,10.073260073260073,10.183150183150182,10.129585690819493,10.220843219565614,10.073911853271284,10.320284697508896,10.156895127993394,10.294522433250757,10.183410895154667,10.320284697508896
8335,10.129585690819493,10.166088702317941,10.27046783625731,10.416666666666666,10.019162332329593,10.347659457979743,10.021905805038335,10.487404162102957,10.394953373560066,10.394953373560066
8336,10.093082679321045,10.147837196568718,10.158150851581508,10.259529602595297,10.101286613742129,10.320284697508896,10.213581599123767,10.487404162102957,10.109465550547327,10.238248551191242
8337,10.129585690819493,10.166088702317941,10.350492880613363,10.36874771814531,10.073911853271284,10.320284697508896,10.076670317634173,10.350492880613363,10.240963855421686,10.377875136911282
8415,10.149689667761956,10.149689667761956,10.195530726256983,10.275339185953712,10.101286613742129,10.347659457979743,10.172143974960877,10.203442879499217,10.214168039538714,10.488742449203734
8416,10.093082679321045,10.147837196568718,10.129585690819493,10.220843219565614,10.046537092800438,10.320284697508896,10.021905805038335,10.323110624315444,10.128661374212976,10.484533260333972
8425,10.147837196568718,10.147837196568718,10.07483117357182,10.166088702317941,10.046537092800438,10.347659457979743,10.076670317634173,10.323110624315444,10.046537092800438,10.320284697508896
8426,10.226828314430973,10.187719984356669,,,10.046537092800438,10.375034218450589,10.472279260780287,10.677618069815194,,
8435,10.293849242562512,10.439861288556306,10.313983205549471,10.478276743336984,10.89515466739666,10.949904188338351,10.46002190580504,10.43263964950712,10.18619934282585,10.514786418400876
8436,10.111334185070268,10.239094725314839,10.313983205549471,10.478276743336984,10.073911853271284,10.347659457979743,10.104052573932092,10.43263964950712,10.18619934282585,10.514786418400876
8437,10.135135135135135,10.153396639883127,10.111334185070268,10.239094725314839,10.046537092800438,10.320284697508896,10.08495478213209,10.276788161140038,10.23816041609636,10.375034218450589
9162,10.184340208067166,10.257346231064062,10.226442658875092,10.189919649379108,10.019162332329593,10.375034218450589,10.021905805038335,10.43263964950712,10.10958904109589,10.73972602739726
